,Date,Time,Open,High,Low,Close,Volume
224,2013-11-10,00:00:00,339.39,340.0,265.11,325.0,35022
225,2013-11-11,00:00:00,322.24,357.95,311.56,344.27,10389
226,2013-11-12,00:00:00,347.0,400.0,340.0,354.96,13163
227,2013-11-13,00:00:00,355.45,414.73,355.45,399.9,13150
228,2013-11-14,00:00:00,399.89,423.5,392.8,413.53499,14424
229,2013-11-15,00:00:00,415.16,439.94,388.01099999999997,412.0,17611
230,2013-11-16,00:00:00,412.0,448.95,410.0,434.52,9971
231,2013-11-17,00:00:00,434.53,499.99,434.53,492.0,9939
232,2013-11-18,00:00:00,492.39,775.0,490.11,689.0,22783
233,2013-11-19,00:00:00,690.0,909.0,360.0,537.0,36107
234,2013-11-20,00:00:00,535.01,630.0,450.01,599.12,27939
235,2013-11-21,00:00:00,599.12,745.0,589.9,730.0,17157
236,2013-11-22,00:00:00,727.0301,839.77,682.32,806.3,12996
237,2013-11-23,00:00:00,815.0,886.876543,775.0,847.666666,9697
238,2013-11-24,00:00:00,847.5,860.0,745.0,815.0,11931
239,2013-11-25,00:00:00,814.16,844.579,768.0,818.98,9443
240,2013-11-26,00:00:00,813.14,960.0,800.0,952.0,10075
241,2013-11-27,00:00:00,955.01,969.99,894.0,963.0,13045
242,2013-11-28,00:00:00,962.01,1050.34,945.0,1016.1,9436
243,2013-11-29,00:00:00,1015.79,1142.0,999.12,1132.0,9112
244,2013-11-30,00:00:00,1131.0,1171.25,1090.0,1119.52,4977
245,2013-12-1,00:00:00,1119.8,1126.0,780.0,955.0,31224
246,2013-12-2,00:00:00,950.2601,1059.0,936.0,1037.07,12076
247,2013-12-3,00:00:00,1037.11,1089.88,1000.0,1055.0,5606
248,2013-12-4,00:00:00,1055.0,1175.0,1051.0,1138.5,6797
249,2013-12-5,00:00:00,1135.0,1141.0,848.42,1023.87,23511
250,2013-12-6,00:00:00,1029.02,1032.04,790.0,820.0,28781
251,2013-12-7,00:00:00,815.0,842.23,538.0,693.0,43628
252,2013-12-8,00:00:00,692.99,790.39,650.0,784.9,13381
253,2013-12-9,00:00:00,786.0,901.0,767.21,899.01,15615
254,2013-12-10,00:00:00,899.94,992.0,895.0,983.0,11644
255,2013-12-11,00:00:00,982.9697,990.0,804.26,879.3,15622
256,2013-12-12,00:00:00,879.4,893.97,838.0,873.0,8407
257,2013-12-13,00:00:00,872.97,923.71,850.02,885.02,9499
258,2013-12-14,00:00:00,885.1,888.8970412999998,840.0,850.78,4137
